,filename,num_cands,parties,kmeans_sil,kmeans_strong,kmeans_weak,s_slates,s_slates_p,s_portion,s_dist,s_sil,w_slates,w_slates_p,w_portion,w_dist,w_sil
0,scot-elex/7_cands\aberdeenshire_2012_ward17.csv,7,"{1: 'SNP', 2: 'Lab', 3: 'SNP', 4: 'LD', 5: 'LD', 6: 'SC', 7: 'Con'}",0.42841264153171804,0.0487250694269124,0.45190608432214086,"{0: (1, 3), 1: (2, 4, 5, 6, 7)}","{0: ('SNP', 'SNP'), 1: ('Lab', 'LD', 'LD', 'SC', 'Con')}",0.30977026003534464,0.20238576117142126,0.4237145624346899,"{0: (6,), 1: (1, 2, 3, 4, 5, 7)}","{0: ('SC',), 1: ('SNP', 'Lab', 'SNP', 'LD', 'LD', 'Con')}",0.8866447866700328,0.03281999495077,0.19892551928869762
1,scot-elex/7_cands\aberdeenshire_2012_ward19.csv,7,"{1: 'Lab', 2: 'Con', 3: 'SNP', 4: 'SNP', 5: 'LD', 6: 'Con', 7: 'Ind'}",0.4081719584787597,0.04990448901623687,0.4185768863419293,"{0: (3, 4), 1: (1, 2, 5, 6, 7)}","{0: ('SNP', 'SNP'), 1: ('Lab', 'Con', 'LD', 'Con', 'Ind')}",0.28772683858643744,0.20639923591212997,0.3989862924405794,"{0: (1,), 1: (2, 3, 4, 5, 6, 7)}","{0: ('Lab',), 1: ('Con', 'SNP', 'SNP', 'LD', 'Con', 'Ind')}",0.8025310410697231,0.06140560331104747,0.2062969660420943
2,scot-elex/7_cands\aberdeenshire_2012_ward8.csv,7,"{1: 'Lab', 2: 'Con', 3: 'Ind', 4: 'SNP', 5: 'Ind', 6: 'LD', 7: 'SNP'}",0.39635076601351,0.06834046385949111,0.3310065300607971,"{0: (4,), 1: (1, 2, 3, 5, 6, 7)}","{0: ('SNP',), 1: ('Lab', 'Con', 'Ind', 'Ind', 'LD', 'SNP')}",0.29700517901373563,0.19775951362305755,0.3840747272061077,"{0: (2,), 1: (1, 3, 4, 5, 6, 7)}","{0: ('Con',), 1: ('Lab', 'Ind', 'SNP', 'Ind', 'LD', 'SNP')}",0.7887863093897771,0.06004653606545072,0.2692540481694828
3,scot-elex/7_cands\aberdeenshire_2017_ward13.csv,7,"{1: 'SNP', 2: 'SNP', 3: 'Lab', 4: 'Con', 5: 'Con', 6: 'Libtn', 7: 'LD'}",0.5476690514758505,0.02818545697131421,0.10565376917945297,"{0: (4, 5), 1: (1, 2, 3, 6, 7)}","{0: ('Con', 'Con'), 1: ('SNP', 'SNP', 'Lab', 'Libtn', 'LD')}",0.44996664442961976,0.153435623749166,0.5386469532515527,"{0: (1, 2), 1: (3, 4, 5, 6, 7)}","{0: ('SNP', 'SNP'), 1: ('Lab', 'Con', 'Con', 'Libtn', 'LD')}",0.8689126084056037,0.039191736289801694,0.5513316436595033
4,scot-elex/7_cands\aberdeenshire_2017_ward17.csv,7,"{1: 'Gr', 2: 'SNP', 3: 'Lab', 4: 'SDP', 5: 'LD', 6: 'Con', 7: 'SNP'}",0.4664626652123413,0.22319652865666245,0.22319652865666245,"{0: (6,), 1: (1, 2, 3, 4, 5, 7)}","{0: ('Con',), 1: ('Gr', 'SNP', 'Lab', 'SDP', 'LD', 'SNP')}",0.3681070330862412,0.1767763514735129,0.35836597752809524,"{0: (6,), 1: (1, 2, 3, 4, 5, 7)}","{0: ('Con',), 1: ('Gr', 'SNP', 'Lab', 'SDP', 'LD', 'SNP')}",0.809980112095462,0.04965949496775747,0.35836597752809524
5,scot-elex/7_cands\aberdeenshire_2017_ward18.csv,7,"{1: 'Con', 2: 'Ind', 3: 'Lab', 4: 'LD', 5: 'SNP', 6: 'Gr', 7: 'Con'}",0.4479846553357672,0.07233387651638602,0.17119319210573963,"{0: (1,), 1: (2, 3, 4, 5, 6, 7)}","{0: ('Con',), 1: ('Ind', 'Lab', 'LD', 'SNP', 'Gr', 'Con')}",0.3338765163860221,0.17650431528758487,0.4197532070175656,"{0: (5,), 1: (1, 2, 3, 4, 6, 7)}","{0: ('SNP',), 1: ('Con', 'Ind', 'Lab', 'LD', 'Gr', 'Con')}",0.8721709216005794,0.034522300681996465,0.39600419246410956
6,scot-elex/7_cands\aberdeenshire_2017_ward8.csv,7,"{1: 'SNP', 2: 'Con', 3: 'Ind', 4: 'LD', 5: 'Ind', 6: 'Lab', 7: 'SNP'}",0.45043841930069567,0.20618258859784283,0.036787365177195684,"{0: (2,), 1: (1, 3, 4, 5, 6, 7)}","{0: ('Con',), 1: ('SNP', 'Ind', 'LD', 'Ind', 'Lab', 'SNP')}",0.40870570107858245,0.16608885464817677,0.35235446446542035,"{0: (1,), 1: (2, 3, 4, 5, 6, 7)}","{0: ('SNP',), 1: ('Con', 'Ind', 'LD', 'Ind', 'Lab', 'SNP')}",0.8070107858243452,0.04625706214689266,0.4345720995074356
7,scot-elex/7_cands\aberdeenshire_2022_ward13.csv,7,"{1: 'ISP', 2: 'SNP', 3: 'Con', 4: 'API', 5: 'Con', 6: 'LD', 7: 'Lab'}",0.49101163743433757,0.023308797756747282,0.15448650543287767,"{0: (3, 5), 1: (1, 2, 4, 6, 7)}","{0: ('Con', 'Con'), 1: ('ISP', 'SNP', 'API', 'LD', 'Lab')}",0.35856992639327023,0.18451629863301805,0.48668116835791536,"{0: (2,), 1: (1, 3, 4, 5, 6, 7)}","{0: ('SNP',), 1: ('ISP', 'Con', 'API', 'Con', 'LD', 'Lab')}",0.8533123028391167,0.037796471550414774,0.446231378005711
8,scot-elex/7_cands\aberdeenshire_2022_ward14.csv,7,"{1: 'Lab', 2: 'LD', 3: 'Con', 4: 'Ind', 5: 'SNP', 6: 'Libtn', 7: 'Con'}",0.4533835506189633,0.13868677905944987,0.13868677905944987,"{0: (5,), 1: (1, 2, 3, 4, 6, 7)}","{0: ('SNP',), 1: ('Lab', 'LD', 'Con', 'Ind', 'Libtn', 'Con')}",0.3882874889086069,0.17741792369121565,0.4054374100198934,"{0: (5,), 1: (1, 2, 3, 4, 6, 7)}","{0: ('SNP',), 1: ('Lab', 'LD', 'Con', 'Ind', 'Libtn', 'Con')}",0.8802129547471162,0.03173617272996153,0.4054374100198934
9,scot-elex/7_cands\aberdeenshire_2022_ward3.csv,7,"{1: 'Con', 2: 'LD', 3: 'Ind', 4: 'SNP', 5: 'Ind', 6: 'SFP', 7: 'API'}",0.351753422026061,0.03210716563895386,0.22655751647884328,"{0: (1,), 1: (2, 3, 4, 5, 6, 7)}","{0: ('Con',), 1: ('LD', 'Ind', 'SNP', 'Ind', 'SFP', 'API')}",0.3523283010844142,0.1882486356226521,0.34587352855944203,"{0: (4,), 1: (1, 2, 3, 5, 6, 7)}","{0: ('SNP',), 1: ('Con', 'LD', 'Ind', 'Ind', 'SFP', 'API')}",0.8313842228364874,0.04408533560138917,0.3612126042917405
10,scot-elex/7_cands\aberdeenshire_2022_ward9.csv,7,"{1: 'Con', 2: 'LD', 3: 'SNP', 4: 'Lab', 5: 'SNP', 6: 'Con', 7: 'Gr'}",0.4985143507875532,0.13092201166180759,0.046556122448979595,"{0: (1, 6), 1: (2, 3, 4, 5, 7)}","{0: ('Con', 'Con'), 1: ('LD', 'SNP', 'Lab', 'SNP', 'Gr')}",0.34238338192419826,0.17345116618075812,0.467251020847676,"{0: (3, 5), 1: (1, 2, 4, 6, 7)}","{0: ('SNP', 'SNP'), 1: ('Con', 'LD', 'Lab', 'Con', 'Gr')}",0.7766034985422741,0.06291924082558187,0.4832553130345747
11,scot-elex/7_cands\aberdeen_2012_ward13.csv,7,"{1: 'Ind', 2: 'Lab', 3: 'LD', 4: 'Ind', 5: 'Con', 6: 'SNP', 7: 'Lab'}",0.40346906626781176,0.29832964873495454,0.45222304102186195,"{0: (6,), 1: (1, 2, 3, 4, 5, 7)}","{0: ('SNP',), 1: ('Ind', 'Lab', 'LD', 'Ind', 'Con', 'Lab')}",0.3537214443625645,0.19538606403013173,0.32154420912848825,"{0: (5,), 1: (1, 2, 3, 4, 6, 7)}","{0: ('Con',), 1: ('Ind', 'Lab', 'LD', 'Ind', 'SNP', 'Lab')}",0.8774256939326947,0.035085564562351616,0.2752969675679868
12,scot-elex/7_cands\aberdeen_2012_ward4.csv,7,"{1: 'Lab', 2: 'SNP', 3: 'LD', 4: 'Lab', 5: 'SNP', 6: 'Con', 7: 'NF'}",0.5835168615747557,0.08905356214248569,0.4983099323972959,"{0: (2, 5), 1: (1, 3, 4, 6, 7)}","{0: ('SNP', 'SNP'), 1: ('Lab', 'LD', 'Lab', 'Con', 'NF')}",0.41445657826313054,0.18429537181487268,0.5315131990648456,"{0: (7,), 1: (1, 2, 3, 4, 5, 6)}","{0: ('NF',), 1: ('Lab', 'SNP', 'LD', 'Lab', 'SNP', 'Con')}",0.921736869474779,0.023964291905009535,0.263719504246358
13,scot-elex/7_cands\aberdeen_2012_ward7.csv,7,"{1: 'SNP', 2: 'Con', 3: 'Lab', 4: 'Gr', 5: 'Ind', 6: 'LD', 7: 'SNP'}",0.37308226057822896,0.0630361320509488,0.3721081362100338,"{0: (1,), 1: (2, 3, 4, 5, 6, 7)}","{0: ('SNP',), 1: ('Con', 'Lab', 'Gr', 'Ind', 'LD', 'SNP')}",0.32804782947751493,0.19478381422753657,0.3694072088094863,"{0: (2,), 1: (1, 3, 4, 5, 6, 7)}","{0: ('Con',), 1: ('SNP', 'Lab', 'Gr', 'Ind', 'LD', 'SNP')}",0.843254484013517,0.041287583398319096,0.2943640283321136
14,scot-elex/7_cands\aberdeen_2012_ward9.csv,7,"{1: 'Ind', 2: 'Ind', 3: 'Lab', 4: 'LD', 5: 'SNP', 6: 'Con', 7: 'Ind'}",0.26782474830267206,0.05997168284789644,0.3169498381877023,"{0: (2,), 1: (1, 3, 4, 5, 6, 7)}","{0: ('Ind',), 1: ('Ind', 'Lab', 'LD', 'SNP', 'Con', 'Ind')}",0.3098705501618123,0.19928195792880246,0.26348986834541754,"{0: (5,), 1: (1, 2, 3, 4, 6, 7)}","{0: ('SNP',), 1: ('Ind', 'Ind', 'Lab', 'LD', 'Con', 'Ind')}",0.8201860841423948,0.048611111111111084,0.25250573579383434
15,scot-elex/7_cands\aberdeen_2017_ward1.csv,7,"{1: 'Lab', 2: 'Ind', 3: 'Lab', 4: 'SNP', 5: 'Con', 6: 'LD', 7: 'SNP'}",0.46604323488473726,0.018008474576271187,0.21436138014527845,"{0: (4, 7), 1: (1, 2, 3, 5, 6)}","{0: ('SNP', 'SNP'), 1: ('Lab', 'Ind', 'Lab', 'Con', 'LD')}",0.3657687651331719,0.1838907384987894,0.46249985962032036,"{0: (5,), 1: (1, 2, 3, 4, 6, 7)}","{0: ('Con',), 1: ('Lab', 'Ind', 'Lab', 'SNP', 'LD', 'SNP')}",0.847911622276029,0.043684422921711076,0.36869151465973454
16,scot-elex/7_cands\aberdeen_2017_ward3.csv,7,"{1: 'SNP', 2: 'UKIP', 3: 'LD', 4: 'SNP', 5: 'Lab', 6: 'Gr', 7: 'Con'}",0.4509229316815949,0.2693833035891334,0.45211183819155265,"{0: (3,), 1: (1, 2, 4, 5, 6, 7)}","{0: ('LD',), 1: ('SNP', 'UKIP', 'SNP', 'Lab', 'Gr', 'Con')}",0.3638707118778505,0.19320510278273512,0.320330475107273,"{0: (2,), 1: (1, 3, 4, 5, 6, 7)}","{0: ('UKIP',), 1: ('SNP', 'LD', 'SNP', 'Lab', 'Gr', 'Con')}",0.8689272258576244,0.03886575451120366,0.21560359096086262
